,caption
200,"(masterpiece, best quality),amazing quality,very aesthetic,absurdres,highres,newest,HDR,8K,chiaroscuro,impasto,intrinsic light,luster,shiny color,strong coloring,masterful shading,high contrast,real,1girl,fern \(sousou no frieren\),purple eyes,purple hair,long hair,blunt bangs,parted lips,under breasts,upper body,looking down,directly below,one eye closed,smile,side view,dutch angle,outdoors,Dandelion fluff soaring,sky,Forehead distance,foreshortening,perspective,"
201,"1 blonde girl,facing the camera,smiles through her tears,with a backdrop of grass-covered hills,holding necklace,between breasts,head tilt,hand up,looking at viewer,parted lips,wind,dark background,masterpiece,best quality,amazing quality,"
202,"masterpiece,best quality,perfect face,perfect eyes,Scathach,drunk,full body,office lady,high_heels,solo,unbuttoned shirt,(crossed_legs:1.1),on chair,bra,she sat down and kicked his shoes partially off,"
203,"fantastical, ethereal aesthetic, A girl with long dark hair and blue eyes holds a fluffy white cat. Both have a serene expression, gazing off to the side. The scene is softly lit, creating a dreamy atmosphere."
204,"Starlit blue gradient long hair cascades like the Milky Way, skin semi-transparent and twinkling with stardust, wearing a silver thread-woven backless gown, the hem transforming into flowing star clouds, holding the Fate Spindle, the threads made of comet tail light fibers, earrings are miniature black hole models,Color scheme: Deep space purple, starlight silver, neon blue, pupils like kaleidoscope star maps,Appearance illustration: Celiniya sits barefoot on the asteroid ring, the spindle spinning on her fingertips, drawing meteors to weave into a constellation net, a crystal unicorn leaps out from the starry clouds of the skirt, shattering floating ice crystal planets, when she smiles lightly, the solar flare behind her suddenly twists into clock gears."
205,"1girl,solo,black thighhighs,suspenders,weapon,maid,holding,frills,apron,holding weapon,black footwear,dress,black dress,black hair,maid headdress,bangs,braid,one knee,twin braids,holding gun,white apron,ribbon,bow,long hair,closed mouth,gun,thigh,looking at viewer,brown eyes,foreshortening,maid apron,twintails,blunt bangs,masterpiece,best quality,amazing quality,(traditional media,sketch,monochrome,greyscale),"
206,"1girl,blonde hair,solo,aged up,Cleavage,burst up,black pilot suit,holding necklace,between breasts,hand up,parted lips,wind,gundam cokpit backgroud,masterpiece,best quality,amazing quality,"
207,"2b,black blindfold, covered eyes, mole under mouth, clothing cutout, long sleeves, puffy sleeves, juliet sleeves, feather trim, black thighhighs, black gloves, black dress, black skirt, abbystea style,masterpiece, best quality,"
208,"masterpiece,best quality,ling,1 girl,Tohsaka Rin,black hair,holding a cup,wearing jeans,"
209,"HDR,UHD,8K,((best quality, masterpiece, perfect_anatomy, anatomically_correct)),sharp_focus,Highly detailed,Professional,Chiaroscuro Lighting,1girl,cat girl,cake,food,solo,cup,frills,holding,bow,long_hair,smile,center_frills,blue_eyes,flower,pink_hair,open_mouth,table,plant,:d,teapot,indoors,full body,chair,sitting,looking_at_viewer,animal_ears,cat tail,pink_bow,teacup,dress,bowtie,frilled_dress,long_sleeves,apron,maid,vase,breasts,maid_headdress,potted_plant,wooden_floor,pink_bowtie,holding_cup,plate,bangs,fruit,cake_slice,hair_over_one_eye,blush,strawberry,saucer,black_dress,frilled_apron,window,large_breasts,white_apron,white bloomers,white socks,frilled socks,mary janes,cafe,sunlight,pink_flower,dark_skin,door,hairband,dark-skinned_female,day,lolita_fashion,hair covering ears,long bangs,"
210,"On the left side of the image,there is a little girl with pink hair wearing a denim jacket and work pants. On the right side,there is a robot with a blue and pink color scheme,slender in form. There is a significant height difference between the girl and the robot. In the background,there is a technologically advanced city under a night sky with rain falling and colorful lights.,"
211,"1girl, red eyes, solo, japanese clothes, white background, simple background, miko, ahoge, black hair, looking at viewer, white kimono, smile, twintails, upper body, wide sleeves, bow, ribbon trim, kimono, sidelocks, red hakama, hakama, closed mouth, ribbon-trimmed sleeves, skirt, red bow, long sleeves, crossed arms, low twintails, medium hair"
212,"blonde lady sits on the bed in the bedroom,looking out the window,her expression sorrowful,holding necklace,between breasts,hand up,parted lips,wind,masterpiece,best quality,amazing quality,"
213,"blonde lady sits on the bed in the bedroom,looking out the window,her expression sorrowful,holding necklace,between breasts,hand up,parted lips,wind,masterpiece,best quality,amazing quality,"
214,"(umamusume,rice_shower_(umamusume),) 1girl,  , long skirt ,(need_buzz, buzz, need_buzz, holding sign, holding sign ), , blood orange style, outdoor,pg,flower, orange jacket, rose, (animal_ears, blue_skirt, brown_hair, flower, hair_over_one_eye, hat, horse_ears, horse_girl, horse_tail, jacket, long_hair, looking_at_viewer, purple_eyes, , rose,  skindentation, skirt, smile, solo, standing, tail,  linea_alba,squatting, looking at viewer,  tilted_headwear, shaded face, fake smile, nervous sweat, wavy mouth, , very awa, long_sleeves,, solo,  general, :0.8),(umamusume,rice_shower_(umamusume),) 1girl,  , long skirt ,(need_buzz, buzz, need_buzz, holding sign, holding sign ),"
215,"made_of_bubbles, twintails, bubble gum fellow \(umamusume\), 1 girl, solo, umamusume, animal_ears, bubble_gum_fellow_(umamusume), 1girl, ;), black_gloves, blue_background, blue_eyes, breasts, brown_hair, ear_ornament, fingerless_gloves, gloves, grin, horse_ears, horse_girl, index_finger_raised, jacket, long_hair, long_sleeves, looking_at_viewer, one_eye_closed, open_clothes, open_jacket, small_breasts, smile, upper_body, very_long_hair, yellow_jacket, horse_ears, anime, open_mouth"
216,"umamusume,, ,rice_shower_(umamusume), 1girl,  long_hair, long_sleeves,, solo, 1girl, need_buzz, holding sign, Japanese cute woman relief, stained glass relief, animal_ears, buzz , blue_rose, , brown_hair, flower, , hat, horse_ears, horse_girl, horse_tail, jacket, long_hair, looking_at_viewer, purple_eyes, purple_hat, rose,  , skirt, smile, solo, standing, tail,  ,Taste the Rainbow, looking at viewer,Skittles"
217,"ballpoint pen \(medium\), thick outlines,, nihonga, 1girl, adult woman, eyelashes, looking at viewer, [[parted lips]], tareme, large eyes,  detailed eyes, shoulder, single off shoulder, spaghetti strap, ,low key lighting, ((blending)), , depth, masterpiece, very aesthetic, absurdres,onono imoko,tsubonari,soejima shigenori, [[[[[andava]]]]], [[[(akai sashimi)]]],[[[ogipote]]],, [[[[sabu \(sabudenego\)]]]],  ((window \(computing\))), cyberspace, virtual reality, Robert Crumb Style, [[sketch]]"
218,"((hishi_miracle_(umamusume), buzz, 1girl ), holding  potato chips bag, eating potato chips, potato_chips, 1girl, long skirt, (need_buzz, need_buzz, holding sign, holding sign ), animal_ears, chips_(food), eating, food, dfc, grey_hair, horse_ears, horse_girl, horse_tail), lazy, lying, umamusume, medium_hair, muffin_top, ((hishi_miracle_(umamusume),buzz, 1girl), eating potato chips, potato_chips,1girl, , long skirt ,(need_buzz, buzz, need_buzz, holding  potato chips bag, holding sign, holding sign ), many  potato chips background, many Deep-Fried & Crispy foods,animal_ears,   eating food, DFC, grey_hair, horse_ears, horse_girl, horse_tail, lazy, lying,  , umamusume,medium_hair, muffin_top, , ,  school_uniform, , solo, tail,tracen_school_uniform, sitting on couch,, solo, tail, tracen_school_uniform, sitting on couch, yellow sofa, yello wall, cracker biscuit wall paper"
219,"1girl, citlali \(genshin impact\), genshin impact, alternate costume, barefoot, black hoodie, blue eyes, blunt tresses, blush, braid, breasts, closed mouth, embarrassed, facial mark, forehead mark, hair intakes, hand up, hood, hoodie, indoors, long hair, looking at viewer, low twin braids, medium breasts, nail polish, pink hair, purple nails, sitting, solo, triangle, triangle facial mark, twin braids, very long hair, wariza, masterpiece, high score, great score, absurdres"
220,"cf_style, mecha, standing, bulky body, energy cannons on back, ruined city background, masterpiece, high score, best quality, absurdres,"
221,"Highest quality, masterpiece, pop art, girl,  fullbody, simple room,"
222,"masterpiece, best quality, very aesthetic, 1girl, solo, dark hair, long hair, blue eyes, looking at viewer, holding rose, half-closed eyes, white collared shirt, brown vest, pleated skirt, long skirt, sitting, knees up, upper body, day, Eleanor \(people's works\), boat, river, cloud, blue sky, from below"
223,"(umamusume,rice_shower_(umamusume),) 1girl,  long_hair, rice shower \(umamusume\), solo,  (need_buzz, buzz, need_buzz, holding sign, holding sign ), long_hair, looking_at_viewer, purple_eyes, purple_hat, rose, shaded face, fake smile, nervous sweat, wavy mouth,f, Made of chocolate board, long skirt, outdoor,pg,blue flower, wood design jacket, blue rose, (animal_ears, blue_skirt, brown_hair, flower, hair_over_one_eye, hat, horse_ears, horse_girl, horse_tail, jacket,  standing, tail,  linea_alba, looking at viewer,   rom side, , very awa, general, :0.6)"
224,"masterpiece, very aesthetic, absurdres, newest, landscape, blood orange style, mountains, valley, river, clouds"
225,"(deer elven average girl:1.2),fantasy,explicit,slightly tanned skin,deer elven average girl,(Holding up a plaque sign that says please give me buzz!:1.3),(deer ears:1.1),(deer big antlers:1.2),(ripped lightweight white elven mini dress:1.5),(half of the body:1.1),green eyes,fantasy forest, mystical, dreamy,impressionist, ethereal, warm lighting, sad mood, masterpiece,high score, best quality, very aesthetic, absurdres,year 2025,currect text,,"
226,"1boy, sad, faceless, sit, knight, armor, short hair, dark hair, parted lips,1girl, hug from behind, pale, dark hair, long hair, faceless, white dress,dark background, particle,masterpiece, high score, great score, absurdres"
227,"cowboy_shot,civchan,pink hair,purple eyes,creepy girl,glowing eyes,sinister smile,sharp teeth,evil grin,outstretched_arms,gothic,eerie cemetery,night mist,horror lighting,black dress,dramatic eye focus,spooky expression,realistic face,pale skin,long flowing hair,ultra-detailed,(masterpiece:2),(best quality:1.1),Cinematic Lighting,(illustration, 8k CG, extremely detailed),,,,"
228,"1boy, safe, fire, solo, fire skin, puppet, faceless, hair covering face, long hair, fire hair, fire shogun armor, bare feet, dynamic pose, fighting stance, holding fire katana, 2-handed fire weapon, fire blade, motion effect, fighting effect, fire effect, masterpiece, high score, great score, absurdresnisino2222, 1boy, skeleton, spot color, looking afar, standing, leaning on glaive \(polearm\),  tattered robe, stone wall, tapestry, shadow, masterpiece, high score, great score, absurdres, (yanje:0.4), threads, string, melting"
229,"1girl, hannah, (aged up), general,  (furry), white fur, white hair, long hair, striped hair, pink eyes, blue shimmer, close-up, head tilt, leaning forward,  wide grin, collared shirt, black coat, off-shoulder, dark background, from side, (artist:mappaninatta:1.10), (artist:waterkuma:0.95), (artist:akizero1510:1.10), (artist:kawacy:1.05), artist:kujou karasuma, (artist:ru zhai:1.05), (artist:tetsurou \(fe+\):0.95), artist:nardack, year 2023,masterpiece, high score, great score, absurdres, playing card, abstract background,"
230,"1girl, solo, mature female, samurai, tall, toned female,  long black hair, single hair bun,  silver armor, holding sword, hand on own knee, bloody katana, sword planted into ground, sad, facial scar, serious, small breasts, full body, facing right, on one knee, from side,"
231,"(si10ra:1.10), (gusha s:0.91), (wanke:0.91), (yoneyama mai:0.91), (wlop:0.91), (silvertsuki:0.91), (hiro \(dismaless\):0.91), (no line art), feather cape, white feathers, painterly, ((heavy fog)), (vapor), haze, cinematic lighting, simple background, dark blue background,masterpiece, high score, great score, absurdres,"
232,"1girl, solo, long hair, skirt, hair ornament, hair flower, smile, flower, lying, on stomach, black hair, socks, bangs, white shirt, shirt, black eyes, black socks, white background, black skirt, short sleeves, grin, school uniform, head rest, no shoes, pleated skirt, bow, looking at viewer, white flower, simple background, collared shirt, blunt bangs, blush,masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
233,"Highest quality, masterpiece, landscape, sky, sunset, ink art, ray light,"
234,"masterpiece, high score, great score, absurdres, 1girl, solo, LavenderLoRa, pastel colours , flowing dress, cardigan, eyeshadow, pastel hair, loose waves,Tilt Shot with Zoom, Clasping hands behind back , Sphinx's Enigma: Sphinx-like posing riddles with outstretched wings an enigmatic guardian of secrets., ,"
235,"1girl, furry,yagi \(s1120411\), (cutesexyrobutts:0.9), full body, straight-on, floating, floating hair, looking up, reaching, caustics, masterpiece, high score, great score, absurdres,1girl,furry female,anthro,snow fox girl,white fur,cropped bangs, looking up, upper body, scared, reaching up, palms together,  pink sky, cumulonimbus cloud,white fur, blue dress, long dress, barefoot,"
236,"1girl, souryuu asuka langley, neon genesis evangelion, sensitive, solo, eyepatch, red plugsuit, sitting on throne, crossed legs, head tilt, holding weapon, lance of longinus \(evangelion\), cowboy shot, depth of field, faux traditional media, painterly, impressionism, masterpiece, high score, great score, absurdres"
237,"1girl, remilia scarlet, touhou, sensitive, solo, dutch angle, looking at viewer, hands up, one eye closed, frilled sleeves, frills, hair between eyes, hat, hat ribbon, indoors, light blush, light particles, long sleeves, medium hair, mob cap, open mouth, upper teeth only, smile, red eyes, red ribbon, red sash, sash, white hat, wide sleeves, window, bat wings, anime coloring, depth of field, masterpiece, high score, great score, absurdres"
238,"1girl, hatsune miku, vocaloid, sensitive, blue eyes, blue hair, bowl, can, chopsticks, collared shirt, detached sleeves, eating, elbow rest, fish \(food\), food, holding, holding chopsticks, katsudon \(food\), long hair, long sleeves, looking at viewer, meal, nail polish, necktie, noodles, onigiri, solo, plate, ramen, sashimi, shirt, shrimp, shrimp tempura, sleeveless shirt, spring onion, tempura, twintails, masterpiece, high score, great score, absurdres"
239,"1girl, citlali \(genshin impact\), genshin impact, alternate costume, barefoot, black hoodie, blue eyes, blunt tresses, blush, braid, breasts, closed mouth, embarrassed, facial mark, forehead mark, hair intakes, hand up, hood, hoodie, indoors, long hair, looking at viewer, low twin braids, medium breasts, nail polish, pink hair, purple nails, sitting, solo, triangle, triangle facial mark, twin braids, very long hair, wariza, masterpiece, high score, great score, absurdres"
240,"girl, iwakura lain, serial experiments lain, sensitive, asymmetrical hair, bare shoulders, breasts, brown hair, cable, closed mouth, computer, crt, dark, dress, gun, hair ornament, hairclip, handgun, indoors, looking at viewer, monitor, red eyes, short hair, solo, sig sauer, sleeveless, small breasts, weapon, white dress, x hair ornament, darkness, dark room, from above, photo background, spot colors, dutch angle, dark, chromatic aberration, faux traditional media, masterpiece, high score, great score, absurdres"
241,"1girl, blood mage, swirling blood that reacts to her emotions, forming shapes and patterns, elegant red and black robes, long, flowing crimson hair, intense, passionate brown eyes, holding a blood-infused dagger, in a gothic ritual chamber with pools of blood, dim, flickering candlelight, powerful and dangerous, masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
242,"🌇🇷🇺🇺🇦👩🏼‍🤝‍👨🏾♥️❄️, czajka,, grey_eyes, brown_updo_hair"
243,"1girl, solo, teen,light teal hair,bob cut,short fluffy hair,light teal eye, looking down, feet dangling, japanese clothes, kimono, floating crescent moon, sitting on the crescent moon, the tranquil lake, reflected in water, still water, toes lightly touching the water, gentle ripples,surreal, ethereal lighting, dreamy atmosphere, otherworldly scene, reflected moon, see-through, silver necklace,blush, light_smile,delicate facial features, absolutely eye-catching, depth of field, ambient occlusion, ray_tracing, masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
244,"1girl, solo, blue eyes, looking at viewer, night, sky, star \(sky\), outdoors, looking back, night sky, railing, city lights, bangs, off shoulder, starry sky, jacket, closed mouth, sweater, upper body, medium hair, cityscape, hood, city,masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
245,"1girl, solo, long hair, socks, skirt, school uniform, blue eyes, white socks, black footwear, loafers, shoes, serafuku, long sleeves, pleated skirt, full body, sailor collar, star \(sky\), bangs, kneehighs, shirt, black hair, neckerchief, hair ornament, white neckerchief, black background, starry sky, floating, sky, constellation, hairclip,masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
246,"1girl, solo, long hair, looking at viewer, smile, open mouth, bangs, blue eyes, hair ornament, long sleeves, jewelry, flower, grey hair, teeth, necklace, blood, heterochromia, ring, cross, x hair ornament, black nails, veil, nun, habit, masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
247,"depth_of_field, subject_focus, space, galaxy, cowboy shot, floating, 1girl, white hair, blue eyes, alien bodysuit, medium breasts, long hair, bangs, dark blue halo, galaxy skin,masterpiece, best quality, very aesthetic, 7481llu, usnr,volumetric lighting, ambient light, soft light,ambient occlusion, high score, great score, absurdres, ,"
248,"1girl, solo, japanese clothes, umbrella, kimono, blue eyes, oil-paper umbrella, cherry blossoms, looking at viewer, black hair, blurry, blurry foreground, bangs, upper body, flower, depth of field, holding umbrella, floral print, long hair, hands up, own hands together, petals, masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
249,"dark forest,mysterious female mage,black robe,glowing magic staff,surrounded by crows,fireflies glowing in the dark,walking alone,enchanted atmosphere,moonlight filtering through trees,cinematic lighting,volumetric fog,high contrast shadows,magical aura,fantasy setting,dynamic cape flow,intricate staff design,soft ambient glow,gothic fantasy style,dramatic composition,(masterpiece:2),best quality,ultra highres,original,extremely detailed,perfect lighting,,hakaseayaka,1girl with pink long hair and blue eyes,braided hair,bangs,,,"
250,"solo,anime coloring,looking at viewer,cowboy_shot,masterpiece,high score,great score,absurdres, iris_midgar, long hair, red hair, braid, red eyes,uniform,white pants,boots,"
251,"6girls, love live!, love live! sunshine! kousaka honoka, sonoda umi, minami kotori, talami chika, watanabe you, sakurauchi riko, barefoot, black kimono, black obi, black sash, blush, buddhist temple entrance, funeral kimono, full body, japanese clothes, japanese funeral, kimono, long sleeves, looking ahead, mourning, obi, one side up, own hands together, outdoors, sandals, sash, solo, standing, tabi, three quarter view, white socks, zouri"
252,"embedding:lazypos, 1girl, solo, maid, maid headdress, long dress, latex dress, white apron, small breasts, black hair, folded ponytail, swept bangs, gray eyes, glasses, confused, ?, holding object, clutching a large bundle of straw, looking at viewer"
253,"1girl, solo, tanned, blonde hair, blue eyes, long bob, smile, excited, arched back, spread arms, looking at viewer, barefoot, standing, school uniform, plain background, masterpiece, high score, great score, absurdres"
254,"1girl, solo, honey_blonde_hair, stargazing, telescope, curiosity_in_eyes, plaid_blanket, night_on_the_hill, masterpiece, high score, great score, absurdres"
255,"1girl, solo, fairy girl, upper body, off-center, sad, (transparent body:1.2), oil wings, circlet, flower, petals, dark theme, polarized, hazy air, blurry background, fantastic, fantasy, beautiful, iridescence, masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
256,"looking at mirror, out of frame, solo focus, 1girl, blue eyes, short hair, toothbrush, brushing teeth, pajamas, hairband, black hairband, bangs, white hair, shirt, collarbone, long sleeves, upper body, blush, blue shirt, holding, grey hair, indoors, ribbon, black ribbon, hair ribbon"
257,"1girl, animal ears, frills, ribbon, hair ornament, bright blue eyes, grey hair, very long hair, looking at viewer, scarf, autumn, leaves, masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
258,"very aesthetic, best quality, masterpiece, absurdres, newest, ((1boy)), male, cute and delicate features, pale skin, slim and slightly lanky, dark eyebags, pink eyes, slightly tousled hair, ((wolf cut hairstyle—textured, voluminous top, shorter sides, wispy layered back)), black hair with grey highlights, oversized sweater or cardigan slipping off one shoulder, white button-up shirt partially unbuttoned, loose tie, untucked shirt, baggy slacks, visible collarbones, flushed cheeks, slightly sleepy expression, silver rimless glasses slipping down his nose, holding books or notes, vintage academia, school grounds, soft cinematic lighting, subtle glow, lowkey cute but disheveled, nerd aesthetic without being caricatured, intelligent eyes,"
259,"A colossal cruise ship transformed by qu4ntum energy, gliding majestically through deep space. Its hull shimmers with quantum-infused machinery, blending sleek futuristic design with rebellious artistic flourishes  glowing fractal patterns, shifting metallic plates, and pulsing energy conduits. Stars streak by as the ship pierces through a nebula, leaving behind trails of warped space-time. The scene feels epic, cinematic, and full of quantum marvel. wide-angle view, Masterpiece, best quality, amazing quality, very aesthetic, high resolution, ultra-detailed, absurdres,"
260,"A colossal qu4ntum-infused pirate space cruise ship hurtles through a collapsing wormhole, pursued by a fractal cyberpunk dragon spewing antimatter lightning. On the shipâs deck, a punk rock band with quantum-encoded instruments battles a swarm of interdimensional shadow beasts â time-loop anomalies flickering between realities. Overhead, a cosmic cat god lounges on a throne of twisting nebulae, its purr distorting space-time itself. Meanwhile, a massive cyber-kraken bursts from a hyperspace rift, wrapping its shimmering metallic tentacles around the ship, pulling it toward a black hole core surrounded by shattered planets and luminous fractal storms. The entire scene is illuminated by collapsing stars, neon lightning, and rippling waves of quantum energy, as reality bends, breaks, and rebuilds itself in an endless cycle of cosmic rebellion. wide-angle view, Masterpiece, best quality, amazing quality, very aesthetic, high resolution, ultra-detailed, absurdres,"
261,"one girl. Chibi character - large round blue eyes, rosy cheeks, fluffy bright yellow hair. a costume in the airs, attack on titan.sehr traurig. yellow background. There are tears in my eyes."
262,"one girl. Chibi character - large round blue eyes, rosy cheeks, fluffy bright yellow hair. a costume in the airs, attack on titan.sehr traurig. yellow background."
263,"1girl, long hair, pointy ears, twintails, jewelry, elf, earrings, capelet, white capelet, long sleeves, parted bangs, dress, belt, flower, smirk, sitting in chair, leaning on one elbow, slumped to the side, legs crossed, white hair, finger on her lip, emerald eyes. glowing eyes, maniac, slight smirk with teeth, Yandere, detailed hands, perspective, from below, looking at viewer,masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
264,"1girl, love live! kousaka honoka, barefoot, black kimono, black obi, black sash, blush, buddhist temple entrance, funeral kimono, full body, japanese clothes, japanese funeral, kimono, long sleeves, looking ahead, mourning, obi, one side up, own hands together, outdoors, sandals, sash, solo, standing, tabi, three quarter view, white socks, zouri"
265,"1girl, solo, bangs, skirt, shirt, black hair, ribbon, white shirt, short sleeves, lying, wings, collared shirt, on back, red ribbon, neck ribbon,outstretched arms, masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
266,"flower, sky, day, indoors, cloud, blue sky, no humans, petals, window, leaf, sunlight, plant, bug, curtains, butterfly, scenery, pink flower, potted plant, falling petals, blue butterfly, flower pot, open window, yellow butterfly, windowsill, limited palette, masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
267,"1girl, dark blue hair, blue track jacket, dark grey pants, hands in pockets, open mouth, closed eyes, yawning, cowboy shot, standing, simple background, blue background, bags under eyes, messy hair, long hair, bangs, long sleeves, open jacket, white shirt, solo,masterpiece, best quality, very aesthetic, 7481llu, usnr,volumetric lighting, ambient light, soft light,ambient occlusion, high score, great score, absurdres, ,"
268,"1girl, solo, scarf, school uniform, long hair, plaid scarf, hair ornament, serafuku, brown eyes, plaid, long sleeves, snowflake hair ornament, shirt, open mouth, looking at viewer, blush, sailor collar, upper body, black hair, black shirt, neckerchief, bangs, black serafuku, grey scarf, black sailor collar, smile, blush, white neckerchief, snowflakes, grey background,  masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
269,"standing, front view, face focus, looking at viewer, purple eyes, pink hair, very long hair, braid, single hair bun, hair ornament, hair ribbon, purple ribbon, large breasts, frilled choker, neck ribbon, halterneck, white dress, center frills, frilled dress, see-through sleeves, sleeves past wrists, bare shoulders, looking at viewer, blush, holding, upper body, flower, outdoors, sky, cloud, white dress, hair bun, sunset, holding flower, sunflower, 1girl, solo, long hair, looking at viewer,dress, holding, ribbon, open mouth, smile, bare shoulders, purple eyes, upper body, pink hair, hair ribbon, flower, outdoors, sky, cloud, white dress, hair bun, blurry, sweatdrop, sunset, holding flower, sunflower, sun, single side bun,masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
270,"1girl, woman, white hair, hair bun, double bun, blunt bangs, multi-tied hair, pigtails, orange eyes,  dark makeup, long_lashes, dynamic pose, red lingerie, lace lingerie, long skirt, lace skirt, high slit, lace trim, abstract background, black background, flower,masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
271,"cf_style, mecha, standing, bulky body, energy cannons on back, ruined city background, masterpiece, high score, best quality, absurdres,"
272,"(masterpiece, newest, dynamic angle), anime, 1girl, portrait, standing, upper body, petite, black hair, blue eyes, long hair, bioluminescent frilly blouse, blue blouse, red short skirt, bioluminescent stripes, looking at viewer, bioluminescent forest, 3nch4nt3d f0r3st"
273,"(masterpiece, newest, dynamic angle), anime, 1girl, portrait, upper body, petite, black hair, blue eyes, long hair, black frilly blouse, carbon fiber blouse, carbon fiber, brown belt, red short skirt, looking at viewer, indoors, cf_style"
274,"1girl, cockpit, mecha, mecha pilot suit, open mouth, furrowed brow, front view, holographic interface, science fiction, shade, colored lights, braided bangs, bangs, white hair, pink eyes, determined, piloting, holographic monitor, masterpiece, best quality, very aesthetic, 7481llu, usnr,volumetric lighting, ambient light, soft light,ambient occlusion, high score, great score, absurdres, ,"
275,"masterpiece, best quality, very aesthetic, absurdres, safe, 1girl, pottsness, trypaint, hitomiz, ciloranko:1.1, noyu \(noyu23386566\), wanke, minato_ojitan, (z282g:1.3), game cg, official art, oldest, by asteroid ill, 4k, (masterpiece, best quality, best aesthetic), exquisite, intricately detailed, gradient eyes, painterly, vector illustration, subject focus:1.1, perfect anatomy, official art, absurdres, solo, best quality, perfect anatomy, newest, new, empty eyes,best aesthetic, best quality, ultra detailed, intricate details, new, newest, glossy hair, moist skin, 18 years old, adult woman, medium breasts, blurry background, depth perception, solo, subject focus:1.1, depth perception, solar flare, forehead, wind, breeze, wind in hair, flowing hair, solo, shade, leaves, grass, below, sitting, against tree, tree, sky, blue sky, sunlight, sraight on, light particles, fate \(series\), fate/stay night, artoria pendragon (fate), saber \(fate\), ahoge, armor, armored dress, hooded eyes, close-up, , , ,"
276,"1girl, shiroko \(blue archive\), blue archive, ciloranko, long hair, grey hair, blue eyes, animal ears, halo, scarf, white shirt, name tag, suit jacket, necktie, v, head tilt, field, wind, sensitive, masterpiece, high score, great score, absurdres"
277,"Fractangles, mecha made out of fractangles, standing, dark blue and black color, safe, masterpiece, best quality, high score, absurdres,"
278,"1girl wizard hat, wizard coat, very wide shot, green plains, blue sky, clouds, grass, tall grass, solo, holding staff, black hair, low twin braids, bangs, closed mouth, looking at viewer, floating hair, outdoors, fantasy, mountainous horizon, scenery, landscape, casting spell, 1tree, tree shade, flowers,masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
279,"1girl, knees together feet apart, black pantyhose, white dress, holographic clothing, v, grin, blush, looking at viewer, dark blue hair, long hair, bangs, holographic hair ornament, digital background, floating cubes, blue cubes, abstract background, cyber,masterpiece, best quality, very aesthetic, 7481llu, usnr,volumetric lighting, ambient light, soft light,ambient occlusion, high score, great score, absurdres, ,"
280,"1girl, hikawa sayo, solo, hanasakigawa school uniform, long hair, umbrella, school uniform, green eyes, flower, holding, hydrangea, brown dress, outdoors, ribbon, bag, neck ribbon, transparent, holding umbrella, long sleeves, red ribbon, dress, aqua hair, rain, looking at viewer, transparent umbrella, parted lips, bangs, buttons, double-breasted, blush, school bag, cowboy shot, breasts, medium breasts, sailor dress, pleated dress, rainbow, sailor collar, standing, swept bangs, day, hand up, masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
281,"A minimalist, silhouette-style portrait of Morrigan Aensland from Darkstalkers. Her figure is depicted in stark black against a muted, monochromatic background, with only her iconic bat-winged headpiece subtly highlighted. Her posture is slouched, conveying a sense of melancholy. The composition is simple, focusing solely on her silhouette to evoke a somber mood,masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
282,"1girl, solo, scarf, school uniform, long hair, plaid scarf, hair ornament, serafuku, brown eyes, plaid, long sleeves, snowflake hair ornament, shirt, open mouth, looking at viewer, blush, sailor collar, upper body, black hair, black shirt, neckerchief, bangs, black serafuku, grey scarf, black sailor collar, smile, blush, white neckerchief, snowflakes, grey background,  masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
283,"silhouette, 1girl, solo, walking, bird, crow, cityscape, at evening, city, blurry foreground, polarized,masterpiece, best quality, very aesthetic, 7481llu, usnr,high score, great score, absurdres,,"
284,"1girl, long hair, white tank top, spandex shorts, standing, hand on hip, bicycle, street, blue sky, ((sweat)),perspire,smile, shading eyes, sun, open mouth,masterpiece, best quality, very aesthetic, 7481llu, usnr, high score, great score, absurdres, ,"
